Date,Open,High,Low,Close,Adj Close,Volume
2018-03-02,8.260000,8.260000,8.260000,8.260000,7.373072,0
2018-03-05,8.260000,8.260000,8.260000,8.260000,7.373072,0
2018-03-06,8.280000,8.280000,8.280000,8.280000,7.390923,0
2018-03-07,8.270000,8.270000,8.270000,8.270000,7.381996,0
2018-03-08,8.260000,8.260000,8.260000,8.260000,7.373072,0
2018-03-09,8.270000,8.270000,8.270000,8.270000,7.381996,0
2018-03-12,8.280000,8.280000,8.280000,8.280000,7.390923,0
2018-03-13,8.270000,8.270000,8.270000,8.270000,7.381996,0
2018-03-14,8.290000,8.290000,8.290000,8.290000,7.399848,0
2018-03-15,8.260000,8.260000,8.260000,8.260000,7.373072,0
2018-03-16,8.260000,8.260000,8.260000,8.260000,7.373072,0
2018-03-19,8.240000,8.240000,8.240000,8.240000,7.355216,0
2018-03-20,8.220000,8.220000,8.220000,8.220000,7.337366,0
2018-03-21,8.250000,8.250000,8.250000,8.250000,7.364144,0
2018-03-22,8.240000,8.240000,8.240000,8.240000,7.355216,0
2018-03-23,8.230000,8.230000,8.230000,8.230000,7.346291,0
2018-03-26,8.270000,8.270000,8.270000,8.270000,7.381996,0
2018-03-27,8.280000,8.280000,8.280000,8.280000,7.416932,0
2018-03-28,8.270000,8.270000,8.270000,8.270000,7.407973,0
2018-03-29,8.290000,8.290000,8.290000,8.290000,7.425889,0
2018-04-02,8.290000,8.290000,8.290000,8.290000,7.425889,0
2018-04-03,8.300000,8.300000,8.300000,8.300000,7.434848,0
2018-04-04,8.290000,8.290000,8.290000,8.290000,7.425889,0
2018-04-05,8.300000,8.300000,8.300000,8.300000,7.434848,0
2018-04-06,8.290000,8.290000,8.290000,8.290000,7.425889,0
2018-04-09,8.260000,8.260000,8.260000,8.260000,7.399018,0
2018-04-10,8.250000,8.250000,8.250000,8.250000,7.390059,0
2018-04-11,8.250000,8.250000,8.250000,8.250000,7.390059,0
2018-04-12,8.260000,8.260000,8.260000,8.260000,7.399018,0
2018-04-13,8.260000,8.260000,8.260000,8.260000,7.399018,0
2018-04-16,8.260000,8.260000,8.260000,8.260000,7.399018,0
2018-04-17,8.250000,8.250000,8.250000,8.250000,7.390059,0
2018-04-18,8.270000,8.270000,8.270000,8.270000,7.407973,0
2018-04-19,8.240000,8.240000,8.240000,8.240000,7.381099,0
2018-04-20,8.190000,8.190000,8.190000,8.190000,7.336310,0
2018-04-23,8.110000,8.110000,8.110000,8.110000,7.264650,0
2018-04-24,8.120000,8.120000,8.120000,8.120000,7.299711,0
2018-04-25,8.070000,8.070000,8.070000,8.070000,7.254762,0
2018-04-26,8.060000,8.060000,8.060000,8.060000,7.245775,0
2018-04-27,8.080000,8.080000,8.080000,8.080000,7.263752,0
2018-04-30,8.050000,8.050000,8.050000,8.050000,7.236783,0
2018-05-01,8.000000,8.000000,8.000000,8.000000,7.191835,0
2018-05-02,7.930000,7.930000,7.930000,7.930000,7.128906,0
2018-05-03,7.910000,7.910000,7.910000,7.910000,7.110927,0
2018-05-04,7.910000,7.910000,7.910000,7.910000,7.110927,0
2018-05-07,7.880000,7.880000,7.880000,7.880000,7.083958,0
2018-05-08,7.830000,7.830000,7.830000,7.830000,7.039007,0
2018-05-09,7.790000,7.790000,7.790000,7.790000,7.003048,0
2018-05-10,7.890000,7.890000,7.890000,7.890000,7.092947,0
2018-05-11,7.900000,7.900000,7.900000,7.900000,7.101937,0
2018-05-14,7.870000,7.870000,7.870000,7.870000,7.074967,0
2018-05-15,7.810000,7.810000,7.810000,7.810000,7.021028,0
2018-05-16,7.820000,7.820000,7.820000,7.820000,7.030019,0
2018-05-17,7.790000,7.790000,7.790000,7.790000,7.003048,0
2018-05-18,7.740000,7.740000,7.740000,7.740000,6.958101,0
2018-05-21,7.750000,7.750000,7.750000,7.750000,6.967090,0
2018-05-22,7.780000,7.780000,7.780000,7.780000,6.994060,0
2018-05-23,7.800000,7.800000,7.800000,7.800000,7.012039,0
2018-05-24,7.810000,7.810000,7.810000,7.810000,7.056311,0
2018-05-25,7.810000,7.810000,7.810000,7.810000,7.056311,0
2018-05-29,7.770000,7.770000,7.770000,7.770000,7.020170,0
2018-05-30,7.800000,7.800000,7.800000,7.800000,7.047276,0
2018-05-31,7.760000,7.760000,7.760000,7.760000,7.011136,0
2018-06-01,7.740000,7.740000,7.740000,7.740000,6.993065,0
2018-06-04,7.760000,7.760000,7.760000,7.760000,7.011136,0
2018-06-05,7.740000,7.740000,7.740000,7.740000,6.993065,0
2018-06-06,7.740000,7.740000,7.740000,7.740000,6.993065,0
2018-06-07,7.710000,7.710000,7.710000,7.710000,6.965960,0
2018-06-08,7.710000,7.710000,7.710000,7.710000,6.965960,0
2018-06-11,7.690000,7.690000,7.690000,7.690000,6.947890,0
2018-06-12,7.660000,7.660000,7.660000,7.660000,6.920785,0
2018-06-13,7.650000,7.650000,7.650000,7.650000,6.911751,0
2018-06-14,7.620000,7.620000,7.620000,7.620000,6.884646,0
2018-06-15,7.600000,7.600000,7.600000,7.600000,6.866576,0
2018-06-18,7.560000,7.560000,7.560000,7.560000,6.830435,0
2018-06-19,7.510000,7.510000,7.510000,7.510000,6.785262,0
2018-06-20,7.550000,7.550000,7.550000,7.550000,6.821401,0
2018-06-21,7.550000,7.550000,7.550000,7.550000,6.821401,0
2018-06-22,7.610000,7.610000,7.610000,7.610000,6.875611,0
2018-06-25,7.590000,7.590000,7.590000,7.590000,6.857540,0
2018-06-26,7.580000,7.580000,7.580000,7.580000,6.875682,0
2018-06-27,7.550000,7.550000,7.550000,7.550000,6.848470,0
2018-06-28,7.550000,7.550000,7.550000,7.550000,6.848470,0
2018-06-29,7.570000,7.570000,7.570000,7.570000,6.866611,0
2018-07-02,7.540000,7.540000,7.540000,7.540000,6.839399,0
2018-07-03,7.580000,7.580000,7.580000,7.580000,6.875682,0
2018-07-05,7.620000,7.620000,7.620000,7.620000,6.911966,0
2018-07-06,7.660000,7.660000,7.660000,7.660000,6.948249,0
2018-07-09,7.690000,7.690000,7.690000,7.690000,6.975461,0
2018-07-10,7.710000,7.710000,7.710000,7.710000,6.993603,0
2018-07-11,7.660000,7.660000,7.660000,7.660000,6.948249,0
2018-07-12,7.680000,7.680000,7.680000,7.680000,6.966390,0
2018-07-13,7.710000,7.710000,7.710000,7.710000,6.993603,0
2018-07-16,7.710000,7.710000,7.710000,7.710000,6.993603,0
2018-07-17,7.700000,7.700000,7.700000,7.700000,6.984531,0
2018-07-18,7.700000,7.700000,7.700000,7.700000,6.984531,0
2018-07-19,7.670000,7.670000,7.670000,7.670000,6.957319,0
2018-07-20,7.700000,7.700000,7.700000,7.700000,6.984531,0
2018-07-23,7.680000,7.680000,7.680000,7.680000,6.966390,0
2018-07-24,7.690000,7.690000,7.690000,7.690000,7.000985,0
2018-07-25,7.730000,7.730000,7.730000,7.730000,7.037402,0
2018-07-26,7.740000,7.740000,7.740000,7.740000,7.046506,0
2018-07-27,7.750000,7.750000,7.750000,7.750000,7.055609,0
2018-07-30,7.750000,7.750000,7.750000,7.750000,7.055609,0
2018-07-31,7.740000,7.740000,7.740000,7.740000,7.046506,0
2018-08-01,7.720000,7.720000,7.720000,7.720000,7.028297,0
2018-08-02,7.690000,7.690000,7.690000,7.690000,7.000985,0
2018-08-03,7.710000,7.710000,7.710000,7.710000,7.019194,0
2018-08-06,7.700000,7.700000,7.700000,7.700000,7.010090,0
2018-08-07,7.700000,7.700000,7.700000,7.700000,7.010090,0
2018-08-08,7.680000,7.680000,7.680000,7.680000,6.991881,0
2018-08-09,7.630000,7.630000,7.630000,7.630000,6.946362,0
2018-08-10,7.530000,7.530000,7.530000,7.530000,6.855322,0
